date,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,trend,price_return,log_return,open_close_change,high_low_range,close_open_ratio,high_close_ratio,low_close_ratio,volume_change,volume_log,trades_change,taker_buy_ratio,trend_change,trend_pct_change,close_lag_1,price_return_lag_1,volume_lag_1,close_lag_2,price_return_lag_2,volume_lag_2,close_lag_3,price_return_lag_3,volume_lag_3,close_lag_5,price_return_lag_5,volume_lag_5,close_lag_7,price_return_lag_7,volume_lag_7,trend_lag_1,trend_change_lag_1,trend_lag_2,trend_change_lag_2,trend_lag_3,trend_change_lag_3,trend_lag_5,trend_change_lag_5,trend_lag_7,trend_change_lag_7,close_ma_3,volume_ma_3,trend_ma_3,close_to_ma_3,trend_to_ma_3,close_ma_7,volume_ma_7,trend_ma_7,close_to_ma_7,trend_to_ma_7,close_ma_14,volume_ma_14,trend_ma_14,close_to_ma_14,trend_to_ma_14,volatility_7,trend_volatility_7,volatility_14,trend_volatility_14,next_close,target
2025-08-20 00:00:00+00:00,112872.95,114615.38,112380.0,114271.24,15636.34194,1776149566.1247735,2998370,7209.58575,819330970.2158619,57.2857,0.012388265956393196,0.012312159298069381,0.012388176263666433,0.019562052533953465,1.0123881762636664,1.003011606419953,0.9834495538859996,-0.1344626920793196,9.657417046970286,-0.088968644092001,0.461078798203872,-1.5714000000000041,-0.026698563130021724,112872.94,-0.028858256318128994,18065.47424,116227.05,-0.010033302667407429,17745.93954,117405.01,0.0002074447357851561,5898.64192,117342.05,-0.008056462867562786,13623.33874,123306.43,0.02640674486373884,23210.07102,58.8571,-1.5715000000000003,60.4286,-1.571399999999997,62.0,-1.1428999999999974,64.2857,-1.1428999999999974,66.5714,-1.1428999999999974,114457.07666666666,17149.251906666665,58.85713333333334,0.9983763636807895,0.9733008856473924,116256.29142857142,15049.195019428571,61.63265714285715,0.9829252128708145,0.9294699053331188,117558.82571428572,15651.404068285714,63.97958571428571,0.9720345478588239,0.8953746630342581,0.018290761489110907,0.2290874339219671,0.019176116862998385,2.0766028328329105,112500.0,0
2025-08-21 00:00:00+00:00,114271.23,114821.76,112015.67,112500.0,10839.69235,1227373788.615563,2357380,5346.48007,605400341.4544928,55.7143,-0.01550031311465605,-0.01562169894735077,-0.01550022696001431,0.02494302222222219,0.9844997730399857,1.0206378666666667,0.9956948444444444,-0.3067628994304278,9.29106214288024,-0.2137794868545243,0.4932317170422277,-1.571399999999997,-0.027430929533897586,114271.24,0.012388265956393196,15636.34194,112872.94,-0.028858256318128994,18065.47424,116227.05,-0.010033302667407429,17745.93954,117380.66,0.00032903805583761603,6393.68117,118295.09,-0.0406413517932519,27980.947586,57.2857,-1.5714000000000041,58.8571,-1.5715000000000003,60.4286,-1.571399999999997,63.1429,-1.1428000000000083,65.4286,-1.142799999999994,113214.72666666667,14847.169509999998,57.2857,0.9936869814757314,0.9725690704661024,115428.42142857143,12600.444271428569,60.244899999999994,0.9746299794077703,0.924796953767041,117203.68214285714,15463.627619714285,63.632650000000005,0.9598674541886498,0.8755615238403555,0.013177528114176728,0.22907406995076526,0.01847442095043926,1.9007709871390217,116935.99,1
2025-08-22 00:00:00+00:00,112500.0,117429.05,111684.79,116935.99,23128.09037,2656625122.2777863,3438518,11843.59711,1359907711.8726692,54.1429,0.03943102222222228,0.03867346942564925,0.03943102222222227,0.049123114278162,1.0394310222222223,1.0042164948532954,0.9550933805751334,1.1336482275716988,10.048846427603916,0.4586184662633941,0.5120871165983774,-1.5714000000000041,-0.02820460815266468,112500.0,-0.01550031311465605,10839.69235,114271.24,0.012388265956393196,15636.34194,112872.94,-0.028858256318128994,18065.47424,117405.01,0.0002074447357851561,5898.64192,117342.05,-0.008056462867562786,13623.33874,55.7143,-1.571399999999997,57.2857,-1.5714000000000041,58.8571,-1.5715000000000003,62.0,-1.1428999999999974,64.2857,-1.1428999999999974,114569.07666666666,16534.70822,55.7143,1.0206592686455855,0.9717953918473353,115370.41285714284,13958.265932857143,58.79592857142857,1.0135700055506929,0.9208613813152757,117222.34285714287,16398.111733285714,62.948978571428576,0.9975571819316746,0.86010768131152,0.021914833367205382,0.2091207523121927,0.021596789494067768,1.6338011551304195,115438.05,0
2025-08-23 00:00:00+00:00,116936.0,117030.0,114560.0,115438.05,11329.36197,1308825428.0143583,1559569,5083.35014,587273893.1314433,52.5714,-0.012809914210329953,-0.012892668639070098,-0.012809998631730152,0.021396757828116467,0.9871900013682698,1.0137905136131458,0.9923937557850293,-0.5101471073160633,9.335241301437588,-0.546441519282435,0.44868812149004006,-1.5715000000000003,-0.02902504298809261,116935.99,0.03943102222222228,23128.09037,112500.0,-0.01550031311465605,10839.69235,114271.24,0.012388265956393196,15636.34194,116227.05,-0.010033302667407429,17745.93954,117380.66,0.00032903805583761603,6393.68117,54.1429,-1.5714000000000041,55.7143,-1.571399999999997,57.2857,-1.5714000000000041,60.4286,-1.571399999999997,63.1429,-1.1428000000000083,114958.01333333335,15099.04823,54.14286666666667,1.0041757564587928,0.9709755547976155,115092.89714285715,14663.36319,57.285714285714285,1.0029989066720115,0.9177052369077306,117149.18571428572,16527.771056857142,61.92857142857143,0.9853935330079119,0.8489038062283736,0.022409967817274078,0.16197038236018332,0.021880625443569682,1.2171803352036998,113493.59,0
2025-08-24 00:00:00+00:00,115438.06,115666.68,110680.0,113493.59,21175.98462,2411284606.189177,2573906,9325.0671,1061855201.3343124,51.0,-0.01684418612407268,-0.016987662875338143,-0.016844271291461422,0.04393798803967689,0.9831557287085386,1.0191472487565156,0.9752092607168388,0.8691241992332601,9.960670239803697,0.6503957183042237,0.4403604964461861,-1.571399999999997,-0.02989077711455268,115438.05,-0.012809914210329953,11329.36197,116935.99,0.03943102222222228,23128.09037,112500.0,-0.01550031311465605,10839.69235,112872.94,-0.028858256318128994,18065.47424,117405.01,0.0002074447357851561,5898.64192,52.5714,-1.5715000000000003,54.1429,-1.5714000000000041,55.7143,-1.571399999999997,58.8571,-1.5715000000000003,62.0,-1.1428999999999974,115289.21,18544.478986666665,52.57143333333334,0.9844250819309108,0.9701086077800173,114534.12285714285,16845.840718571428,55.714285714285715,0.9909150842457606,0.9153846153846154,116734.87,17017.28633471429,60.57142857142857,0.9722338321017533,0.8419811320754718,0.02302699642111688,4.879499145357484e-05,0.021052667634784316,0.22237480043415583,110111.98,0
2025-08-25 00:00:00+00:00,113493.59,113667.28,109274.1,110111.98,25182.79379,2805570653.6310234,4695718,11387.5817,1269662985.34418,50.1429,-0.029795603434519924,-0.03024851157390859,-0.029795603434519966,0.039897384462616994,0.9702043965654801,1.0322880398663252,0.9923906554037082,0.18921477522304708,10.133955963048283,0.8243548909711544,0.4521969164724674,-0.8571000000000026,-0.016805882352941226,113493.59,-0.01684418612407268,21175.98462,115438.05,-0.012809914210329953,11329.36197,116935.99,0.03943102222222228,23128.09037,114271.24,0.012388265956393196,15636.34194,116227.05,-0.010033302667407429,17745.93954,51.0,-1.571399999999997,52.5714,-1.5715000000000003,54.1429,-1.5714000000000041,57.2857,-1.5714000000000041,60.4286,-1.571399999999997,113014.54,19229.380126666667,51.2381,0.9743169330247241,0.9786252807969069,113660.54142857144,17908.248468571426,54.244899999999994,0.9687793020869825,0.9243799877960878,116122.43999999999,16923.60487042857,59.2347,0.9482403228867737,0.846512263926381,0.02493595036295815,0.26999262600159385,0.022213333622401455,0.254371870205113,111763.22,1
2025-08-26 00:00:00+00:00,110111.98,112371.0,108666.66,111763.22,18452.43877,2033437347.4999392,4077474,9863.43157,1087468493.596964,49.2857,0.01499600679235824,0.014884678291290745,0.014996006792358154,0.03314453538471777,1.0149960067923582,1.0054381038771074,0.9722935684923896,-0.2672600616168568,9.823006015299315,-0.13166122837870586,0.534532681177947,-0.8571999999999989,-0.017095142083924153,110111.98,-0.029795603434519924,25182.79379,113493.59,-0.01684418612407268,21175.98462,115438.05,-0.012809914210329953,11329.36197,112500.0,-0.01550031311465605,10839.69235,112872.94,-0.028858256318128994,18065.47424,50.1429,-0.8571000000000026,51.0,-1.571399999999997,52.5714,-1.5715000000000003,55.7143,-1.571399999999997,58.8571,-1.5715000000000003,111789.59666666668,21603.739059999996,50.14286666666667,0.9997640507931581,0.9829055113189911,113502.01000000001,17963.529115714286,52.87755714285714,0.9846805356134221,0.9320721807712643,115524.52142857142,17047.342716142855,57.91837142857143,0.9674415320482671,0.850951067586253,0.024150775280001525,0.3485280756607829,0.02239274931887721,0.2811622510732375,111262.01,0
2025-08-27 00:00:00+00:00,111763.22,112625.0,110345.42,111262.01,13392.60875,1493774927.190832,3111496,6261.8455,698586344.1774796,48.4286,-0.004484570147495814,-0.004494655997296272,-0.0044845701474958075,0.020488394915748886,0.9955154298525042,1.0122502730267051,0.9917618781109563,-0.27420928382790677,9.502532913202675,-0.23690598640236582,0.46755980234246747,-0.8570999999999955,-0.017390439823315784,111763.22,0.01499600679235824,18452.43877,110111.98,-0.029795603434519924,25182.79379,113493.59,-0.01684418612407268,21175.98462,116935.99,0.03943102222222228,23128.09037,114271.24,0.012388265956393196,15636.34194,49.2857,-0.8571999999999989,50.1429,-0.8571000000000026,51.0,-1.571399999999997,54.1429,-1.5714000000000041,57.2857,-1.5714000000000041,111045.73666666665,19009.280436666664,49.28573333333333,1.0019476059128911,0.9826088956100887,113072.12000000001,17642.995802857145,51.61225714285714,0.9839915445115912,0.9383158707040244,114664.20571428571,16346.095411142856,56.62245714285714,0.9703290517464261,0.8552896225929542,0.023403402862522977,0.381804958934095,0.02051220581264599,0.30415807594873134,112566.9,1
2025-08-28 00:00:00+00:00,111262.01,113485.9,110862.42,112566.9,11104.27744,1250788481.9453218,2066780,5139.46509,578866003.6838148,47.5714,0.011728082208833035,0.011659841291183425,0.011728082208833002,0.02330596294292546,1.011728082208833,1.0081640340099975,0.9848580710670721,-0.17086524012732018,9.315175719357287,-0.3357600331159031,0.4628365166279563,-0.857200000000006,-0.017700284542605083,111262.01,-0.004484570147495814,13392.60875,111763.22,0.01499600679235824,18452.43877,110111.98,-0.029795603434519924,25182.79379,115438.05,-0.012809914210329953,11329.36197,112500.0,-0.01550031311465605,10839.69235,48.4286,-0.8570999999999955,49.2857,-0.8571999999999989,50.1429,-0.8571000000000026,52.5714,-1.5715000000000003,55.7143,-1.571399999999997,111864.04333333333,14316.44165333333,48.428566666666676,1.0062831330400983,0.982300391573293,113081.67714285714,17680.793672857144,50.44898571428571,0.9954477404663284,0.9429604842685496,114255.0492857143,15140.618972142856,55.34694285714286,0.9852247292678261,0.8595126947262024,0.023353225754563018,0.38180050512575897,0.01861631079040316,0.32413883031608515,108377.4,0
2025-08-29 00:00:00+00:00,112566.9,112638.64,107463.9,108377.4,22580.31045,2475492492.5775294,3606959,10616.35644,1164321513.1044571,46.7143,-0.03721786777462999,-0.037928131382763526,-0.03721786777463002,0.0477474085925664,0.96278213222537,1.0393185295089198,0.9915711209163534,1.033478591651615,10.024877871892091,0.7452070370334529,0.4701598972037162,-0.8570999999999955,-0.01801712793821486,112566.9,0.011728082208833035,11104.27744,111262.01,-0.004484570147495814,13392.60875,111763.22,0.01499600679235824,18452.43877,113493.59,-0.01684418612407268,21175.98462,116935.99,0.03943102222222228,23128.09037,47.5714,-0.857200000000006,48.4286,-0.8570999999999955,49.2857,-0.8571999999999989,51.0,-1.571399999999997,54.1429,-1.5714000000000041,110735.43666666666,15692.398879999999,47.571433333333346,0.97870567238774,0.9819821839857672,111859.02142857143,17602.53939857143,49.38775714285714,0.9688749160853811,0.9458680187657844,113614.71714285715,15780.402665714284,54.09184285714286,0.9539028281320998,0.8636108058542759,0.019629677908095326,0.3485475946184172,0.02069528606128589,0.34165967322423507,108816.33,1
