date,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,trend,price_return,log_return,open_close_change,high_low_range,close_open_ratio,high_close_ratio,low_close_ratio,volume_change,volume_log,trades_change,taker_buy_ratio,trend_change,trend_pct_change,close_lag_1,price_return_lag_1,volume_lag_1,trend_lag_1,trend_change_lag_1,close_lag_2,price_return_lag_2,volume_lag_2,trend_lag_2,trend_change_lag_2,close_lag_3,price_return_lag_3,volume_lag_3,trend_lag_3,trend_change_lag_3,close_lag_5,price_return_lag_5,volume_lag_5,trend_lag_5,trend_change_lag_5,close_lag_7,price_return_lag_7,volume_lag_7,trend_lag_7,trend_change_lag_7,close_ma_3,volume_ma_3,trend_ma_3,close_ma_ratio_3,volume_ma_ratio_3,trend_ma_ratio_3,close_ma_7,volume_ma_7,trend_ma_7,close_ma_ratio_7,volume_ma_ratio_7,trend_ma_ratio_7,close_ma_14,volume_ma_14,trend_ma_14,close_ma_ratio_14,volume_ma_ratio_14,trend_ma_ratio_14,volatility_7,volatility_14,trend_volatility_7,trend_volatility_14,target
2025-08-28,111262.01,113485.9,110862.42,112566.9,11104.27744,1250788481.9453218,2066780,5139.46509,578866003.6838148,47.5714,0.011728082208833035,0.011659841291183425,0.011728082208833002,0.02366428587793768,1.011728082208833,1.0081640340099975,0.9848580710670721,-0.17086524012732018,9.315175719357287,-0.3357600331159031,0.4628365166279563,-0.857200000000006,-0.017700284542605083,111262.01,-0.004484570147495814,13392.60875,48.4286,-0.8570999999999955,111763.22,0.01499600679235824,18452.43877,49.2857,-0.8571999999999989,110111.98,-0.029795603434519924,25182.79379,50.1429,-0.8571000000000026,115438.05,-0.012809914210329953,11329.36197,52.5714,-1.5715000000000003,112500.0,-0.01550031311465605,10839.69235,55.7143,-1.571399999999997,111864.04333333333,14316.44165333333,48.42856666666666,1.0062831330400983,0.7756311036558841,0.9823003915732932,113081.67714285714,17680.793672857144,50.44898571428571,0.9954477404663284,0.6280417975267054,0.9429604842685496,114255.04928571428,15140.618972142856,55.34694285714286,0.9852247292678262,0.7334097410700778,0.8595126947262024,0.023353225754563018,0.018616310790403157,0.38180050512576047,0.32413883031608703,0
2025-08-29,112566.9,112638.64,107463.9,108377.4,22580.31045,2475492492.5775294,3606959,10616.35644,1164321513.1044571,46.7143,-0.03721786777462999,-0.037928131382763526,-0.03721786777463002,0.04815328682469188,0.96278213222537,1.0393185295089198,0.9915711209163534,1.033478591651615,10.024877871892091,0.7452070370334529,0.4701598972037162,-0.8570999999999955,-0.01801712793821486,112566.9,0.011728082208833035,11104.27744,47.5714,-0.857200000000006,111262.01,-0.004484570147495814,13392.60875,48.4286,-0.8570999999999955,111763.22,0.01499600679235824,18452.43877,49.2857,-0.8571999999999989,113493.59,-0.01684418612407268,21175.98462,51.0,-1.571399999999997,116935.99,0.03943102222222228,23128.09037,54.1429,-1.5714000000000041,110735.43666666665,15692.398879999999,47.57143333333334,0.9787056723877401,1.4389329905944885,0.9819821839857673,111859.02142857142,17602.53939857143,49.38775714285714,0.9688749160853812,1.2827870989928052,0.9458680187657844,113614.71714285715,15780.402665714284,54.09184285714286,0.9539028281320998,1.4309083822721278,0.8636108058542759,0.019629677908095326,0.020695286061285886,0.3485475946184189,0.34165967322423685,1
2025-08-30,108377.4,108926.15,107350.1,108816.33,10708.39159,1160666772.7387524,1411040,5797.17783,628457794.843401,45.8571,0.004050014117334522,0.004041834886721533,0.004050014117334496,0.014681402253001984,1.0040500141173345,1.0010092235237118,0.986525643715424,-0.5257642000223253,9.278876354171782,-0.6088006545125686,0.5413677470866566,-0.8571999999999989,-0.018349841483228824,108377.4,-0.03721786777462999,22580.31045,46.7143,-0.8570999999999955,112566.9,0.011728082208833035,11104.27744,47.5714,-0.857200000000006,111262.01,-0.004484570147495814,13392.60875,48.4286,-0.8570999999999955,110111.98,-0.029795603434519924,25182.79379,50.1429,-0.8571000000000026,115438.05,-0.012809914210329953,11329.36197,52.5714,-1.5715000000000003,109920.21,14797.659826666664,46.71426666666667,0.9899574427668942,0.723654396400068,0.9816508589809823,110913.06142857143,17513.829344285714,48.42857142857143,0.9810957212652386,0.6114249133924475,0.9469017699115044,113002.97928571429,16088.596267142857,52.857142857142854,0.9629509831317912,0.6655889309541162,0.8675667567567569,0.020339514539273407,0.020799009808974995,0.26996112947713646,0.35706002511967333,0
2025-08-31,108816.33,109480.02,108076.93,108246.35,9489.51596,1031806894.3513318,1366633,4573.61058,497406888.1691883,45.0,-0.005238000583184466,-0.005251767001620112,-0.00523800058318449,0.012982326570527227,0.9947619994168155,1.0113968738899741,0.9984348663950331,-0.11382434231656624,9.158048258935317,-0.03147111350493248,0.48196458062545894,-0.8571000000000026,-0.018690671673525006,108816.33,0.004050014117334522,10708.39159,45.8571,-0.8571999999999989,108377.4,-0.03721786777462999,22580.31045,46.7143,-0.8570999999999955,112566.9,0.011728082208833035,11104.27744,47.5714,-0.857200000000006,111763.22,0.01499600679235824,18452.43877,49.2857,-0.8571999999999989,113493.59,-0.01684418612407268,21175.98462,51.0,-1.571399999999997,108480.02666666667,14259.405999999997,45.85713333333334,0.9978459014636427,0.6654916733558188,0.9813086150173654,110163.45571428571,15844.333821428572,47.57142857142857,0.9825976254842821,0.5989217386448878,0.9459459459459459,112348.78928571429,16345.08727,51.642857142857146,0.9634847931001609,0.5805729760413816,0.871369294605809,0.019989750469497167,0.020741025202083357,5.345225170170419e-05,0.3706246615920476,1
2025-09-01,108246.36,109912.4,107255.0,109237.42,16053.60219,1742516638.781135,2729384,7532.99101,817730948.9844334,44.4286,0.009155689776144893,0.009114030534832748,0.009155596548465903,0.02477646729756183,1.009155596548466,1.0061790181423178,0.9818521894786604,0.6917198156016378,9.683750828265842,0.997159442220406,0.4692399201652324,-0.571399999999997,-0.012697777777777697,108246.35,-0.005238000583184466,9489.51596,45.0,-0.8571000000000026,108816.33,0.004050014117334522,10708.39159,45.8571,-0.8571999999999989,108377.4,-0.03721786777462999,22580.31045,46.7143,-0.8570999999999955,111262.01,-0.004484570147495814,13392.60875,48.4286,-0.8570999999999955,110111.98,-0.029795603434519924,25182.79379,50.1429,-0.8571000000000026,108766.7,12083.836579999997,45.09523333333334,1.0043277951799585,1.3285186442003343,0.9852172106881953,110038.51857142858,14540.163592857143,46.755100000000006,0.992719835001154,1.104086765425826,0.9502407224024758,111849.53,16224.206030714284,50.5,0.9766462138911088,0.9894846108098411,0.8797742574257427,0.017740508238854404,0.021056092051912924,0.10800335973610399,0.39223787663627335,1
2025-09-02,109237.43,111771.52,108393.39,111240.01,18510.28756,2042681451.9016385,2596328,9088.71727,1003032805.5367996,43.8571,0.018332454208457083,0.018166440657325495,0.01833236098652268,0.0311654612887373,1.0183323609865227,1.0047780470354148,0.9744101065794583,0.1530301636308331,9.82613596338605,-0.04874946141693515,0.49100897220205036,-0.5715000000000003,-0.012863335779205287,109237.42,0.009155689776144893,16053.60219,44.4286,-0.571399999999997,108246.35,-0.005238000583184466,9489.51596,45.0,-0.8571000000000026,108816.33,0.004050014117334522,10708.39159,45.8571,-0.8571999999999989,112566.9,0.011728082208833035,11104.27744,47.5714,-0.857200000000006,111763.22,0.01499600679235824,18452.43877,49.2857,-0.8571999999999989,109574.59333333332,14684.468569999997,44.428566666666676,1.0151989308470473,1.260535066132121,0.9871374048378782,109963.77428571429,14548.427705714284,45.97958571428571,1.0116059649877942,1.27232220102586,0.9538385202625639,111732.89214285715,16255.978410714286,49.42857142857143,0.9955887462196273,1.138675697785124,0.8872823699421966,0.018278608751036998,0.020579351244289577,0.139402456082758,0.399166717489884,1
2025-09-03,111240.01,112575.27,110528.71,111705.71,11773.72084,1313762617.3436644,2214249,5539.29462,618293676.5075179,43.2857,0.004186443348935365,0.004177704576073605,0.0041864433489354385,0.0185160941442273,1.0041864433489354,1.0077843827320914,0.989463385533291,-0.36393636231548643,9.373710210747957,-0.14716129857244542,0.4704795276936428,-0.5714000000000041,-0.01302867722672052,111240.01,0.018332454208457083,18510.28756,43.8571,-0.5715000000000003,109237.42,0.009155689776144893,16053.60219,44.4286,-0.571399999999997,108246.35,-0.005238000583184466,9489.51596,45.0,-0.8571000000000026,108377.4,-0.03721786777462999,22580.31045,46.7143,-0.8570999999999955,111262.01,-0.004484570147495814,13392.60875,48.4286,-0.8570999999999955,110727.71333333333,15445.870196666663,43.85713333333334,1.0088324470651944,0.7622568809713848,0.986970572632046,110027.16,14317.158004285713,45.244885714285715,1.0152557786641043,0.8223504159467712,0.956698184041006,111549.64,15980.076903571427,48.42857142857143,1.0013991080562878,0.7367749799357137,0.8938050147492624,0.018259343811190026,0.020288385973279012,0.1527219914310545,0.3922294716891356,0
2025-09-04,111705.72,112180.0,109329.12,110730.87,12203.13536,1349031325.5320847,2230255,6070.78151,670681185.82571,42.7143,-0.008726859173089796,-0.008765161209067217,-0.008726947912783748,0.026076126836107386,0.9912730520872163,1.0130869557874873,0.987340928505303,0.03647228652993961,9.409530137220479,0.007228635984480425,0.4974771917960598,-0.571399999999997,-0.013200664422661434,111705.71,0.004186443348935365,11773.72084,43.2857,-0.5714000000000041,111240.01,0.018332454208457083,18510.28756,43.8571,-0.5715000000000003,109237.42,0.009155689776144893,16053.60219,44.4286,-0.571399999999997,108816.33,0.004050014117334522,10708.39159,45.8571,-0.8571999999999989,112566.9,0.011728082208833035,11104.27744,47.5714,-0.857200000000006,111225.52999999998,14162.381253333331,43.2857,0.9955526397581563,0.861658441593486,0.9867993355773386,109764.87,14474.137707142858,44.55101428571429,1.0088006299283185,0.843099299378495,0.9587727840732181,111423.27357142858,16077.465689999999,47.5,0.9937858263427818,0.7590210792730978,0.8992484210526316,0.01783471624041946,0.020005818836785146,0.15271753571311317,0.37062762657742887,0
2025-09-05,110730.87,113384.62,110206.96,110659.99,21587.40888,2413132200.623325,2970419,10787.81127,1206066261.227201,42.1429,-0.0006401105671796081,-0.0006403155254173387,-0.000640110567179596,0.02883356913211279,0.9993598894328204,1.024621636058344,0.9959061084317828,0.7690051157475646,9.979911823711108,0.3318741578877751,0.4997270089229903,-0.5714000000000041,-0.013377253051086058,110730.87,-0.008726859173089796,12203.13536,42.7143,-0.571399999999997,111705.71,0.004186443348935365,11773.72084,43.2857,-0.5714000000000041,111240.01,0.018332454208457083,18510.28756,43.8571,-0.5715000000000003,108246.35,-0.005238000583184466,9489.51596,45.0,-0.8571000000000026,108377.4,-0.03721786777462999,22580.31045,46.7143,-0.8570999999999955,111032.19,15188.088359999996,42.7143,0.9966478189793428,1.4213381149963236,0.9866227469489139,110090.95428571428,14332.294625714285,43.89795714285714,1.0051687781069545,1.5062074457546353,0.9600196169232738,110974.98785714286,15967.417012142858,46.642857142857146,0.9971615418642952,1.3519662487416257,0.9035231240428789,0.00907486534557114,0.016309887867802724,0.13942197169197046,0.33150672046624585,0
2025-09-06,110660.0,111307.7,109977.0,110187.97,5000.29897,552785936.5434699,795201,2308.83297,255237426.946011,41.5714,-0.004265498307021387,-0.00427462149747006,-0.004265588288451101,0.012099802686016141,0.9957344117115489,1.0101619986283439,0.9980853626761614,-0.7683696548392797,8.51745295167562,-0.7322933229285161,0.4617389847791441,-0.5715000000000003,-0.013561003158301888,110659.99,-0.0006401105671796081,21587.40888,42.1429,-0.5714000000000041,110730.87,-0.008726859173089796,12203.13536,42.7143,-0.571399999999997,111705.71,0.004186443348935365,11773.72084,43.2857,-0.5714000000000041,109237.42,0.009155689776144893,16053.60219,44.4286,-0.571399999999997,108816.33,0.004050014117334522,10708.39159,45.8571,-0.8571999999999989,110526.27666666667,12930.281069999997,42.14286666666667,0.9969391290752789,0.386712318388915,0.9864397770757565,110286.90285714285,13516.852822857141,43.285714285714285,0.9991029500821961,0.3699307106121953,0.9603953795379537,110599.98214285714,15515.34108357143,45.857142857142854,0.9962747539839114,0.3222809568327579,0.9065414330218069,0.009453482599755135,0.01610570237736766,0.10797186141371944,0.2672530228860998,1
